Exajoules,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Canada,1.9445859000000003,2.1259800000000006,2.4003,2.57175,2.51839476,2.5724358,2.5950672000000004,2.726055,2.6307288000000004,2.7740610000000006,2.5642062,2.4777954000000006,2.6008965,2.4462486000000006,2.6811351000000005,2.898492552,2.7185454900000003,2.946834594,3.402967032,3.6153695790000007,3.7241203140000003,3.9196281780000004,4.318729488,4.754305071000001,5.146095753000001,5.498684999999999,5.5410506999999996,5.750312399999999,5.9617476,6.1394472,6.3469683,6.4590921,6.5060127,6.337691999999999,6.3624672,6.449488199999999,6.4583064,6.2884485,5.993697600000001,5.581829700000001,5.385278699999999,5.438567699999999,5.410987200000001,5.469132600000001,5.7236975999999995,5.7872043,6.191399700000001,6.2604711,6.363945900000001,6.0834906,5.947015299272043,-0.025104662183422777,0.008643341542893701,0.0428669752933006,,
Mexico,0.3970910609047369,0.3930542306514334,0.4085288161661092,0.44390138439028404,0.46534330931754153,0.47300522814144563,0.4638777376239702,0.4919499457254851,0.6158111236456448,0.747556756020345,0.9041486974026641,0.974084662419438,1.0386832003006343,1.0474619868334016,1.0302970136158407,0.9994956311790354,0.8878179281002478,0.9024156486998065,0.9141562305421395,0.8775532523714152,0.9499010286285859,0.9633274817766805,0.9337511579061069,1.00001556,1.05202835,1.0507050439999999,1.108980973,1.1198330010000002,1.185628073,1.2324696610000003,1.201632091,1.1930653539999998,1.2141983,1.254254691,1.3329736170000002,1.595228081,1.7442792090000003,1.6869086750000002,1.7003008220000002,1.8929898400000003,1.8424014410000005,1.87556367,1.8306067320000003,1.8895694110000003,1.8467929170000004,1.726090111,1.571451265,1.3776639739999998,1.266877,1.1266160000000003,1.0825837985545805,-0.041709047871185234,-0.05057040930615675,0.0078034258548565156,,
US,20.572642740990194,21.155781500730367,21.087180292114816,21.068003174915255,20.140098855451953,18.649492946652828,18.49754211466913,18.578255786495095,18.502194910979178,19.06350066142198,18.90326690245612,18.705337896976687,17.394835086487888,15.756256961325295,17.099437594714953,16.123724368840435,15.706322011865472,16.2713215128483,16.710752486475698,16.94688474786175,17.40160537989415,17.3091011423984,17.448081117729988,17.646477301940966,18.371910916996065,18.119550841540864,18.368354851244803,18.415436402151215,18.623809511021324,18.364969704541675,18.669610118617076,19.148219536275665,18.404235507197463,18.642809062320893,18.111962985354403,17.61986900434906,18.06206601790527,18.788000045951268,19.65842903728166,20.072970399301074,20.705668086595185,22.224907683706487,23.36849380044776,23.60493846387178,25.37015336044056,26.650915307005437,26.18482001232036,26.86214561263003,30.273702157347326,33.47955098079499,32.92635438963543,-0.01921051176702071,0.05248714004488564,0.23733808458366226,,
Total North America,22.914319701894932,23.674815731381802,23.896009108280925,24.08365455930554,23.123836924769495,21.694933974794274,21.5564870522931,21.796260732220578,21.748734834624823,22.585118417442324,22.371621799858787,22.157217959396128,21.034414786788524,19.249967548158697,20.810869708330795,20.02171255201947,19.31268542996572,20.120571755548106,21.027875749017838,21.439807579233165,22.075626722522735,22.19205680217508,22.700561763636095,23.400797932940968,24.570035019996066,24.668940885540863,25.018386524244804,25.285581803151214,25.771185184021324,25.736886565541674,26.218210509617077,26.800376990275666,26.12444650719746,26.23475575332089,25.807403802354404,25.66458528534906,26.264651626905273,26.76335722095127,27.35242745928166,27.547789939301076,27.933348227595182,29.53903905370649,30.61008773244776,30.96364047487178,32.940643877440564,34.16420971800544,33.94767097732036,34.500280686630035,37.90452505734733,40.689657580794986,39.955953487462054,-0.020714683171834447,0.03977585244302917,0.2880084857318194,,
Argentina,0.21076020000000006,0.22775755500000006,0.21650184000000006,0.23575734000000004,0.25375248000000006,0.26929692000000005,0.25676334,0.2650257000000001,0.27342810000000006,0.2531223000000001,0.29392645500000003,0.30582985500000004,0.34274790000000005,0.4600314000000001,0.47193480000000004,0.48628890000000013,0.5430051000000001,0.5304015000000002,0.6287796000000001,0.6648399000000003,0.6245784000000001,0.6977493000000001,0.7033509000000001,0.7534152000000002,0.7796727000000001,0.8756001000000002,1.0128393000000002,0.9585738000000001,1.0359459000000002,1.2102957,1.3097241000000004,1.3002714000000004,1.2642111000000003,1.4368104000000002,1.5712488000000002,1.5975063000000003,1.6139610000000004,1.5694983000000002,1.5425406000000006,1.450842883085702,1.403891847335701,1.357842423765601,1.3208833186874995,1.2440107284138,1.2414916636865976,1.2776811929486986,1.3421648309328011,1.3373959780925988,1.4193140345162985,1.4981693965343978,1.3784965732656,-0.08239335794356839,0.0032150847614693667,0.009936409370816534,,
Bolivia,0.001507248,0.001507248,0.04019328000000001,0.06196464000000001,0.06485353200000002,0.06393243600000001,0.065900232,0.069542748,0.068537916,0.07494372,0.09190025999999998,0.09801298800000001,0.10165550400000001,0.09759430800000002,0.093868056,0.09303069600000002,0.09474728400000001,0.09910155600000001,0.10475373600000001,0.11048965200000001,0.112917996,0.11224810800000001,0.10192044144628792,0.10168861625450937,0.10964953819815247,0.10956120931768996,0.11063921711773492,0.09325601671197817,0.09739801063642635,0.07842261797212202,0.11240649317341711,0.16369543131554926,0.20973044881350517,0.24103399156430697,0.33911569272218833,0.4183769284391092,0.44803054397207687,0.47988693166698293,0.49651268167315715,0.4277370353315021,0.4937220832218727,0.5412240448097551,0.6170322105532858,0.704716710240006,0.7299656864782762,0.7041814445039858,0.6758836361360455,0.6564878935249505,0.6132972226205041,0.5382123739989514,0.518747501792968,-0.03879921034126532,0.023240408329502582,0.003739209540211298,,
Brazil,0.0029196446017699103,0.004634935805309734,0.0063137314513274315,0.0072261203893805295,0.0139048074159292,0.015145656371681412,0.017444876495575214,0.02171485672566371,0.028576021539823,0.031313188353982294,0.03660504419469026,0.032846001769911495,0.04693328697345131,0.06346577453097343,0.07386700842477875,0.09266222054867254,0.10791736359292033,0.12054482649557521,0.1213112332035398,0.12437686003539819,0.11323848887076104,0.11772218708569906,0.13335838024603536,0.15622065730019466,0.17061012572001766,0.18829780715978756,0.20576717217446014,0.2239798787047433,0.23462369856939816,0.2754908399537521,0.2775496720152526,0.2834567297465641,0.34245272667259186,0.3720280073435601,0.4091680001358095,0.404691865536688,0.41322497751408915,0.4160784629738545,0.5175385099800974,0.44196992754893105,0.5407399206514034,0.6201707479732637,0.7139825848016313,0.790185399635782,0.8405163388557875,0.8569618210041767,0.8684487977342652,0.9785311872860708,0.9058448427956933,0.9268749737181236,0.8614144979952211,-0.0731642013975693,0.07686892202619111,0.00620920447394378,,
Colombia,0.0449757,0.0468162,0.05718780000000001,0.05925600000000001,0.06165180000000001,0.05369670000000001,0.0545328,0.0618291,0.08210970000000002,0.09380160000000001,0.10024110000000001,0.1098684,0.11712960000000004,0.1286838,0.13082670000000002,0.13344300000000003,0.1300554,0.13704930000000004,0.13215870000000002,0.133569,0.1412856,0.13990140000000004,0.14331240000000003,0.14030550000000003,0.14473620000000006,0.1517364,0.1636866,0.204264,0.23362380000000005,0.2049444,0.20648906478282014,0.21380375225231849,0.21595253368199,0.20699927772502524,0.22085352146336415,0.23206839440452656,0.24352856202944148,0.2612838323975963,0.3138791203402215,0.3640255094770297,0.39036195972366355,0.37965047245900896,0.4149233164077973,0.476045133201273,0.4439820307644294,0.4179713698345545,0.4327272863379305,0.4423660653475776,0.46283465454470707,0.47498001868598244,0.4772985639380171,0.002135775769793513,0.026961948465197505,0.0034404393999731813,,
Peru,0.01431045,0.017082450000000002,0.016424100000000004,0.0160776,0.016562700000000003,0.0204435,0.022176,0.022020075000000004,0.0230076,0.021275099999999998,0.022869,0.026264700000000002,0.027564075,0.018156600000000002,0.0245322,0.019126800000000003,0.020287575,0.020166299999999998,0.01902285,0.016129575,0.015436575,0.0144837,0.01306305,0.013756050000000002,0.014345100000000003,0.013894650000000001,0.01410255,0.00835065,0.014171850000000001,0.014241150000000001,0.011971575000000002,0.012820499999999999,0.0153153,0.01812195,0.029799,0.05255892435215095,0.06151119336060082,0.09270717551186305,0.12592596569812872,0.12908879572916251,0.2633380525741062,0.4132994660325012,0.4304906908953651,0.44636851955806117,0.4725802808839034,0.455641797881655,0.5046636715696076,0.4683868892687235,0.4612134808663075,0.48584851721154787,0.43523067729946446,-0.1066319911099679,0.14172427037745527,0.0031372077843765398,,
Trinidad & Tobago,0.06396327,0.067086,0.0693387,0.06659280000000001,0.0608391,0.05529510000000001,0.06223770000000001,0.07315740000000001,0.08733690000000001,0.0902754,0.10199700000000002,0.1123542,0.13655250000000005,0.14147010000000004,0.14823360000000002,0.15174720000000003,0.15528420000000004,0.1644966,0.18933930000000002,0.18970109999999998,0.1966815,0.19926595661850005,0.19255684039255128,0.21611929623300005,0.24752599029108005,0.2657275970747401,0.3000385676662117,0.32559611193649585,0.32559611193649585,0.4106712250553866,0.4979041604686846,0.5297351621358827,0.6214470708263176,0.9066749732079525,1.0288319442255227,1.0803724308854192,1.2801697633882352,1.3573203866517425,1.3463825692419318,1.3880955761607376,1.4505490959074823,1.3926677880608598,1.3871666597361032,1.3949013512462405,1.3704193970238827,1.2944108353624877,1.1261411444138087,1.1474253931601377,1.2226000735630194,1.2441920578726675,1.0607495098166957,-0.1497684940048536,-0.0108849602737775,0.007646041037637654,,
Venezuela,0.3080916000000001,0.29858112000000003,0.29678292000000006,0.3655940400000001,0.38637324000000006,0.37578384000000004,0.46585368000000005,0.5085109800000002,0.5131263600000001,0.5747047200000001,0.5916277800000002,0.59482458,0.6346846800000001,0.6249744000000002,0.6913080000000001,0.6923269800000001,0.7621970400000001,0.74273652,0.76035888,0.7807384800000001,0.87774138,0.8752039200000001,0.8638552800000002,0.9322268400000001,0.9860329800000001,1.09893996,1.18805076,1.2319668000000004,1.2921265800000004,1.0953036000000003,1.1158430400000001,1.1825362800000003,1.1354833800000004,1.0079510400000002,1.1350638000000004,1.0956632400000001,1.2580207200000002,1.34089776,1.2032355600000002,1.1446542000000002,1.0962626400000004,1.0885104,1.1485702800000004,1.1012576400000003,1.1443744800000002,1.2983403600000003,1.3405944220603587,1.389793958732501,1.1382875826224255,0.9207438713884218,0.6750522034768476,-0.26884357369203915,-0.021532391824322095,0.004865877195855256,,
Other S. & Cent. America,0.026660412000000005,0.028073124,0.026965656000000008,0.020788092,0.02376478800000001,0.027288900000000005,0.042433380000000014,0.045843588000000005,0.052252919999999994,0.03348612000000001,0.02998314,0.030343824000000002,0.03204284400000001,0.03509377200000001,0.03715102800000001,0.03836556000000001,0.03559190400000001,0.03506839200000001,0.046935432000000006,0.06672636000000001,0.08621420400000002,0.09141109920000001,0.09982378800000002,0.08241838845747122,0.107705772,0.10304093880000001,0.10502669880000001,0.10055874960000001,0.0953644356,0.11762136000000004,0.13001239800000003,0.13662783143100002,0.12723644360396547,0.11718902210669882,0.12705626246319363,0.13640140581929466,0.1465870627533744,0.1434314616842056,0.1378917625030981,0.13682080697480312,0.13636586702964704,0.11359203127479704,0.10749314132894164,0.09837380926921119,0.09445056080167838,0.10424404808189837,0.11259907087294618,0.11134150533857284,0.10834329724108588,0.1148982527141476,0.09642426039953111,-0.16307860333280777,-0.017310925355008222,0.0006950404833711196,,
Total S. & Cent. America,0.6731885246017699,0.6915386328053098,0.7297080274513275,0.8332566323893807,0.8817024474159295,0.8808830523716815,0.9873420084955755,1.067644447725664,1.1283755175398231,1.1729221483539825,1.2691497791946906,1.3103445487699117,1.4393103899734514,1.5694701545309735,1.671721392424779,1.7069913565486727,1.8490858665929208,1.8495649944955754,2.0026597312035395,2.0865709270353987,2.168094143870761,2.247985670904199,2.251241080084875,2.3961505482451755,2.56027840620925,2.8067986623522176,3.1001508657584074,3.146546006953218,3.328850386742321,3.4069908929812613,3.6619005034401755,3.8229470868813156,3.931829003598371,4.306808661947545,4.861137021010078,5.017639489437189,5.465033823017818,5.661104310886245,5.683906769436636,5.483234734307869,5.775231466443876,5.906957374375787,6.140542202410623,6.2558592915643745,6.337780438494555,6.409432869617458,6.403222860057765,6.531728870751132,6.3317351887700415,6.20391946212424,5.5034137879843446,-0.11533713940071655,0.01242516452112663,0.03966942928618536,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870696,0.042108660000000006,0.07141959000000002,0.09102901500000002,0.08990311500000002,0.11529216000000002,0.11773161000000001,0.1479176412714,0.15407638433991,0.16903044443754,0.18314517652200005,0.19830618304443,0.24096680024472003,0.294980849793,0.28392119256474,0.29106008682741,0.30598150749687003,0.3145806019233901,0.3183231452199451,0.3015559358225045,0.3555299096799981,0.3928683379538151,0.3903465248613,0.34614614049909004,0.37764416237352005,0.3152430694428401,0.30729379562043996,0.2468564259001788,0.2156830183254453,0.1790490746089853,0.17282355580999684,0.1725676294293971,0.16920369538140803,0.18180103059695504,0.15453940968927407,0.11529204405058002,0.04966894716690001,-0.5703672350604809,-0.0956940691465834,0.00035802119616345693,,
Germany,0.43246709999999994,0.5327901,0.6378687000000001,0.7141482000000001,0.7417331999999999,0.6885072,0.7099551000000001,0.7058376000000001,0.729765,0.7308170999999999,0.6653358,0.6815727,0.5983290000000001,0.6613668,0.6498917999999999,0.6158772,0.5045454,0.5662998,0.5269833000000002,0.5515290000000002,0.5408865,0.55423016208,0.562174866288,0.5594527764,0.5865154142400001,0.605221869168,0.655422271056,0.64428069384,0.629530764912,0.6724195067520001,0.635956163136,0.642001734864,0.64032416784,0.6665638482720001,0.6168065772959999,0.59553629352,0.588319590096,0.538910493408,0.49086244166399995,0.458862059376,0.40046373561599996,0.37675623182400003,0.340609410288,0.309748507488,0.290978748144,0.270879596064,0.24922948579199997,0.229541812416,0.19950386702400003,0.191907337104,0.16190104392000002,-0.15866327063105135,-0.0834821177516697,0.001167006927076133,,
Italy,0.4529358,0.46152719999999997,0.48914370000000007,0.5283089999999999,0.5273442,0.5026257,0.5401035000000001,0.4738032,0.47323800000000005,0.4617306,0.42968249999999997,0.4815314999999999,0.4944267,0.4433382,0.4692213,0.4830921,0.5413545000000001,0.5548256999999999,0.5639067,0.5764059000000001,0.5873976,0.5907987,0.6168627,0.6565589999999999,0.6927344999999999,0.6844031999999999,0.6851115,0.6654918600000002,0.6565739759999999,0.603652824,0.574512696,0.5264901000000001,0.505095552,0.47959794000000006,0.44769452400000004,0.416963412,0.3792403440000001,0.33525628881530156,0.31734640620000004,0.27476621505972,0.28823634170667006,0.28972178014176003,0.2950489474798171,0.26522982100842835,0.24514402488439813,0.23218876246458942,0.19835147660644564,0.1898301078176425,0.1868110891892757,0.16636490777472546,0.13952495694491285,-0.16362324797505046,-0.04893578909983198,0.0010057167471703877,,
Netherlands,1.0050000000000001,1.3890000000000005,1.852,2.252,2.6700000000000004,2.892,3.09,3.1000000000000005,2.838,2.976000000000001,2.878,2.672000000000001,2.2850000000000006,2.4330000000000003,2.4630000000000005,2.579,2.358,2.3620000000000005,2.0850000000000004,2.279,2.2830000000000004,2.5812000000000004,2.5921999999999996,2.642400000000001,2.5066,2.5482000000000005,2.8839000000000006,2.5542000000000002,2.4364,2.2656000000000005,2.2090000000000005,2.3273,2.2867,2.185800000000001,2.5782,2.352,2.3221000000000007,2.232100000000001,2.5526999999999997,2.358,2.7096,2.5019000000000005,2.4625000000000004,2.6066000000000003,2.173900000000001,1.6514000000000006,1.5943000000000003,1.3655000000000004,1.1637,1.0024000000000002,0.719,-0.2846812458841951,-0.08198510935916015,0.005182659482926819,,
Norway,0,0,0,0,0,0,0,0.09485957700000001,0.50739261885,0.73852927425,0.8964055664100001,0.8915035890600002,0.8560921220100001,0.84367719756,0.9276435193500001,0.93561341742,0.9321850881900001,1.0058311567800002,1.0122155361,1.02679912863,0.9103807842300001,0.89421513876,0.9230366360700001,0.88624148904,0.9590506538400002,0.993779928,1.3362285033900003,1.5344149527900004,1.57907177172,1.7318613981600004,1.77920918631,1.9307237519700002,2.3436698326200003,2.6068586562000005,2.8290610608300004,3.06715602654,3.1681182160800003,3.2267664742500006,3.5758374979500003,3.72471211683,3.8230338236400003,3.618248043240001,4.09905086058,3.885494365620001,3.869681017950001,4.18071159693,4.172073512130002,4.454252008920001,4.36632719616,4.1133523290300005,4.01235330186,-0.027219098232684313,0.009974293259017442,0.02892164240436365,,
Poland,0.1842957,0.19004490000000002,0.2010267,0.2039319,0.1974069,0.20317590000000002,0.22115700000000005,0.2327796,0.24960690000000002,0.22394879999999998,0.1902069,0.16905240000000002,0.15580080000000002,0.1523205,0.1673082,0.17302320000000002,0.1570833,0.15781320000000001,0.15661800000000003,0.1450215,0.0995589,0.11129400000000002,0.10717380000000003,0.13694760000000003,0.12976290000000001,0.13268880000000002,0.13147289999999998,0.13415040000000003,0.1360125,0.1298826,0.1387242,0.1462041,0.1494333,0.1511973,0.1643562,0.16263000000000002,0.1624626,0.16314699996,0.154487,0.15407,0.15461699999999998,0.16118500000000002,0.16356900000000005,0.16006700000000004,0.156014,0.154197,0.14874500000000004,0.14543999999999999,0.143327,0.143467,0.14139758706954403,-0.017117142866053037,-0.007104840531681145,0.0010192149450472087,,
Romania,0.7827428178000001,0.8365012443000001,0.8556731262,0.9058923864,0.9349772886000001,1.0156400883,1.1078429184,1.1732252418,1.1812428792000003,1.1286921303,1.1654424306000002,1.2266985222,1.2402848952,1.2307912074,1.2220019982,1.1680255188,1.1820312243000004,1.1234085408,1.1001272004000002,0.9862029468000001,0.9592299,0.8397665999999999,0.7373637,0.7017129000000001,0.6206346,0.6048108000000001,0.5762718000000001,0.49856219999999996,0.46680840000000007,0.4686012,0.4592133,0.45134640000000004,0.44375760000000003,0.4366215,0.4344831,0.40617450000000005,0.40019040000000006,0.3865563000000001,0.3765006,0.3742344000000001,0.3608442,0.362862,0.3635271,0.3600684,0.36699479999999995,0.3678201,0.3258999000000001,0.3604104370000001,0.358475384,0.34641311899999994,0.3134138731202301,-0.09773177192367055,-0.007695267717143683,0.002259134049523482,,
