Exajoules (input-equivalent)*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,0,0,0,0,0,0,0,0,0,0,0,0.00707,0.01069,0.011320000000000002,0.01345,0.013,0.01898,0.021390000000000003,0.02085,0.023370000000000005,0.01678,0.01866,0.023129999999999998,0.02486,0.034780000000000005,0.039559191919191924,0.03985919191919192,0.045260526319999994,0.04878052632000001,0.057940526320000005,0.0720070790761281,0.07596409537285308,0.08237166888359386,0.0905935898575196,0.09118411329679404,0.09197463354355935,0.09955658485083316,0.10338694566638976,0.09935274222553667,0.1048955279919544,0.10385339300466354,0.10977807229394237,0.11471949763815784,0.11216021800945043,0.14820891226298058,0.18094127125957657,0.19567541256272597,0.21425848147890372,0.21825591903499145,0.2265894723891927,0.36290661833561144,0.4193916728065453,0.37484472181818185,0.42484825814936056,0.4202119284132644,0.4549322290200058,0.0796676964903349,0.10983752725589069,0.016276319621931837,,
Mexico,0,0,0,0,0,0,0,0,0.0016100000000000003,0.0046300000000000004,0.00518,0.005789999999999999,0.00592,0.005979999999999998,0.010190000000000001,0.00915,0.009640000000000001,0.012960000000000003,0.01353,0.014240000000000001,0.01641,0.03394,0.044180000000000004,0.046329999999999996,0.04675,0.05126,0.058355124753775446,0.06369522980958635,0.06504760669730796,0.062285254000069123,0.06426443480664894,0.06196555154300723,0.05901246224556797,0.06160586031724091,0.06084001313197636,0.06384645108338804,0.06232760051504634,0.060213499120334184,0.06842544989880713,0.07105080594903583,0.07907116635569619,0.07257768478301882,0.08134735404206243,0.07764187507378878,0.07716509705179007,0.08181426974901833,0.08448814726743895,0.09753282183284831,0.10703368156831305,0.12628300216868238,0.15099138514849658,0.16414614324855578,0.17936088582553456,0.231760524458601,0.2881038327237516,0.3479508182695422,0.20442734028618403,0.14080866949720905,0.01244879647913171,,
US,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.19989691771854276,0.20404264805821332,0.19754301961701326,0.22564753541853655,0.23536121862459236,0.24678786657309668,0.2575603724229939,0.2665611631812324,0.2737760327329065,0.2640504894535597,0.29810294113669267,0.35607182700809914,0.3640945199964598,0.3872007725117736,0.4267961297377268,0.42404126916216306,0.5124077698564594,0.6064687788942053,0.6401077461672078,0.6814094648174127,0.7043607446512936,0.7033865844460963,0.6697576619867789,0.6863403758106347,0.6967402688649227,0.6919804372155645,0.7152939390906373,0.7275109334524501,0.7372828746167581,0.8178079315080495,0.8164243300570435,0.8471533221292936,0.8844698966994992,0.9696198597428761,1.0496074165055318,1.245922329222094,1.415422625673918,1.6302780024872816,1.8836218761407681,2.1171236864668455,2.453901772405336,2.718971015809527,2.876104253451808,3.326420841901415,3.7595637531100476,4.040836991118945,4.311577537258961,4.9001314692028775,0.1334002669848826,0.11782805876971425,0.17531425758522196,,
Total North America,0.13332232095652646,0.14062006895272863,0.1407357074264804,0.15546045096175942,0.1622706037653718,0.1623590253395494,0.16584413973581333,0.18672978440292398,0.20150691771854276,0.2086726480582133,0.20272301961701325,0.23850753541853653,0.2519712186245924,0.2640878665730967,0.2812003724229939,0.2887111631812324,0.3023960327329065,0.29840048945355974,0.33248294113669263,0.3936818270080991,0.3972845199964598,0.43980077251177363,0.4941061297377268,0.49523126916216303,0.5939377698564594,0.6972879708133971,0.7383220628401752,0.790365220946999,0.8181888776686015,0.8236123647661654,0.8060291758695559,0.824270022726495,0.8381243999940845,0.844179887390325,0.8673180655194077,0.8833320180793975,0.8991670599826377,0.9814083762947734,0.9842025221813874,1.0230996560702839,1.067394456059859,1.1519756168198374,1.245674268185752,1.4357244223053334,1.6407966349886887,1.8930335434958765,2.163785435970933,2.4289149897785975,2.77919137300864,3.071843490367402,3.390002256935916,3.909958657956516,4.313769360753764,4.697445773726907,5.019893298395977,5.703014516492425,0.13297876499368755,0.11831454366657757,0.2040393736862855,,
Argentina,0,0,0,0,0,0.00047540991253644326,0.0004986461370262391,0.0006435315192743763,0.0004904243440233237,0.0005006767142857143,0.0005492264150943396,0.0005020279154518952,0.0005385510781671159,0.000541366620879121,0.0008439376339285715,0.0008625156794425088,0.0007472249999999999,0.0009591246543778802,0.0013731478405315618,0.0009739279181184668,0.0010332161428571432,0.001070789208074534,0.0010815682330827068,0.001211160473515249,0.0011937690789473685,0.0010676328373015872,0.0009960040431266847,0.001018654945054945,0.001074384027777778,0.0011929003759398498,0.0011559245729813668,0.0036101549206349207,0.004602240499999999,0.004964392030075188,0.006852621428571428,0.007098083101045295,0.006544523836937176,0.009117819199657057,0.01071096957234691,0.009480260943564198,0.011096117441538723,0.015753614347661423,0.015657738822144173,0.01649388619477358,0.016675713425318536,0.019136191589050368,0.020696145599990917,0.02625903371040956,0.02696651733624642,0.026912060991911117,0.027196447250546384,0.022859835403064886,0.027104746569370473,0.017840009558769965,0.05721791464128899,0.09972812049101118,0.7381905634099375,0.13121397105845123,0.0035680188407466,,
Brazil,0,0,0,0,0,0.005146915000000002,0.006333952500000002,0.007165701875,0.007508003750000001,0.007851518,0.008671775750000001,0.00864337725,0.011168454625,0.013319440750000003,0.017760194000000003,0.018055082625,0.018736228750000004,0.021784744749999994,0.02984454949999999,0.028516788875000008,0.03067125588592233,0.031939324238673135,0.03565697314724919,0.03339783794093851,0.034031623385113265,0.03859062500000001,0.039996125625,0.049293607379452056,0.04983937033224442,0.05388223648777488,0.05593740488958306,0.06754709628222037,0.07382950998212703,0.07510233012160117,0.08378002280958721,0.07856363,0.0896670111038961,0.10154409584567284,0.1172555025,0.1221666575054786,0.13250806389900396,0.14513502041485182,0.17906953535995576,0.19927306628450908,0.2277421256367255,0.3202574735059006,0.32963859067917334,0.37848167161241947,0.4382851126884028,0.5433379633427803,0.6517521358135312,0.7687012614561678,0.865054592868645,0.9512735669088008,1.0479840408231638,1.0688190195661895,0.017094447529650836,0.16490666456996395,0.038239629709096966,,
Chile,0,0,0,0,0,0,0.0006600000000000001,0.0005700000000000001,0.00051,0.00046,0.00051,0.0007300000000000001,0.0008,0.0009099999999999999,0.00094,0.0010500000000000002,0.0011,0.0013700000000000003,0.0020800000000000007,0.00201,0.00195,0.0028000000000000004,0.00271,0.0032700000000000003,0.0032100000000000006,0.009630000000000001,0.01033,0.01743,0.0175,0.01786,0.018789999999999998,0.01738,0.01743,0.01161,0.0145,0.01375,0.01679025974025974,0.01764929032258064,0.016692692307692304,0.019841273885350313,0.017401329113924044,0.013837358490566033,0.02588759999999999,0.03446153427130436,0.03277879589177777,0.0350849015591411,0.04339995893451222,0.05927035801632936,0.06864573880626504,0.06313958346449111,0.08233656663482126,0.10614324465671553,0.134737360056723,0.15983460408137007,0.18490203188420484,0.2094179569197148,0.12949422232602403,0.18887137032263368,0.007492442574885892,,
Colombia,0,0,0,0,0,0,0,0,0,0,0.00189,0.00202,0.00192,0.00206,0.00216,0.00227,0.00212,0.00231,0.0023400000000000005,0.0025499999999999997,0.00267,0.00266,0.0026800000000000005,0.0027400000000000007,0.0027400000000000007,0.0027400000000000007,0.0026900000000000006,0.0034,0.0038900000000000007,0.00444,0.00477,0.00496,0.00483,0.00532,0.00457,0.004978350136986301,0.004954306412337662,0.004892557499999999,0.00491762596153846,0.005135164591222406,0.005442260838607593,0.005607185170475936,0.005326574281729694,0.005352790445772702,0.010020509444699016,0.010780889117819827,0.013244386006145768,0.014195741404366675,0.012941021328351603,0.016483260898907705,0.01722413508447172,0.018511113995697,0.017948976327713556,0.01956311940040012,0.023483670080689256,0.023474938189988262,-0.0031030527099509264,0.08889904487953726,0.0008398736618603925,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003158007707006369,0.0009961333517905058,0.0014007737341211316,0.002101197271499999,0.002005474678881987,0.0020752475380677766,0.002243343488464048,0.002627151431697986,0.0027732619581539975,0.0032826289296822267,0.004541409628998679,0.004941674981697853,0.0055452094093294034,0.004875569999999999,0.004887989840066842,0.006299815646309413,0.006543692506317768,0.03587373526821502,0.11744406531747131,0.0002341166968317484,,
Peru,0,0,0,0,0,0,0.00227,0.00227,0.0023,0.00266,0.00266,0.0024500000000000004,0.00242,0.00215,0.0016300000000000004,0.00085,0.0007599999999999999,0.0015100000000000003,0.00145,0.0014200000000000003,0.00169,0.0015400000000000001,0.00136,0.00136,0.00145,0.00136,0.00133,0.00133,0.00109,0.00119,0.0014200000000000003,0.0013740000000000004,0.001546,0.001265,0.001396,0.001588,0.0016313376623376626,0.0018478451612903225,0.001934076923076923,0.001502713375796178,0.003381493670886075,0.0033602264150943387,0.003999037499999999,0.004382832298136644,0.004355777777777775,0.006328380368098155,0.006308451219512191,0.006758890909090904,0.01067405421686746,0.01601277844311376,0.015770196999807515,0.016766024336994395,0.016488599499,0.02386025791204386,0.02627941204424416,0.029098267748188272,0.1042394797699151,0.19689207931086172,0.0010410621101395652,,
Trinidad & Tobago,0,0,0,0,0,0,0.00035000000000000005,0.00035000000000000005,0.00029,0.00025,0.00023,0.00018999999999999998,0.00023,0.00029,0.00029,0.0002600000000000001,0.00018999999999999998,0.00018,0.00016,0.00013000000000000004,0.00017,0.0002600000000000001,0.00031,0.00027,0.0002600000000000001,0.00031,0.00025,0.0003,0.00028000000000000003,0.00032,0.00033000000000000005,0.00017,0.00018,0.00018,0.00018,0.00020127,0.00029442564935064933,0.0002661706451612903,0.00013238423076923075,0.00024533598726114643,0.00023568778481012647,0.00027603509433962254,0.00020923706249999986,0.00021980683229813654,0.0002128305555555554,0.000037583558282208565,0.00003735439024390241,0.000037127999999999974,0.00003690433734939755,0.000041117604790419134,0.00004691089285714282,0.000046633313609467414,0.000046359,0.00004178412933000608,0.000041630070680284636,0.00004148610612244899,-0.006180978565705542,-0.15055098525339705,0.000001484267501937457,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000023090797546012255,0.000027801219512195103,0.000048403636363636323,0.00004928551278283864,0.00006182120636775225,0.00009148013937282223,0.00009085401039746617,0.00009007280024698978,0.0000845727752106956,0.00011206707025096556,0.00011165539529902324,-0.00639567302330768,0,0.000003994746437980172,,
Central America,0,0,0,0,0,0,0.0010700000000000002,0.00141,0.00117,0.0015600000000000002,0.00338,0.00724,0.0069900000000000006,0.007520000000000001,0.00642,0.006821052631578947,0.011091052631578948,0.011981052631578948,0.01026105263157895,0.012371052631578948,0.0093699,0.0086075,0.009105160000000001,0.00883962,0.01171867,0.012207556315789476,0.013350639157894736,0.018216531736842106,0.017220100210526317,0.016930572210526317,0.017508388947368423,0.017620156584879053,0.019265448341578947,0.016785293609942107,0.02513357517038422,0.029805969434947368,0.032117078437655835,0.035344455315634626,0.03703836376817308,0.03874319182897451,0.04065707687879113,0.043952327744364764,0.047777720601956224,0.04862922096144718,0.05398578778738314,0.06148618989552389,0.06298940612977402,0.07426894522051491,0.08024166364587912,0.09121361782671852,0.10726641318919877,0.11984014993095622,0.12115334841312497,0.14168335720769842,0.15383952673806955,0.1448751399341694,-0.060844054307994666,0.1103984559282194,0.005183264522542646,,
Other Caribbean,0,0,0,0,0,0,0.009700000000000002,0.008310000000000001,0.009780000000000002,0.009840000000000002,0.01012,0.01103,0.011930000000000001,0.013390000000000003,0.012890000000000002,0.012920000000000003,0.01308,0.014060000000000001,0.015150000000000002,0.01289,0.012090000000000002,0.012660000000000005,0.013040000000000001,0.014220000000000002,0.013890000000000001,0.01603842105263158,0.01367842105263158,0.014700000000000001,0.010657171717171716,0.01138777777777778,0.009587777777777777,0.012295367169590643,0.011870215279797978,0.01049598632888889,0.012286559098001063,0.013751801359347938,0.013087765881897459,0.012282164787625515,0.010103454552142791,0.011193739386156105,0.008427258941201395,0.008504763982769262,0.008959844992828784,0.009843731944264432,0.010527116037732206,0.010316702038156458,0.011784985062278684,0.01715004973293215,0.021901202328643208,0.021359143061810915,0.023560580924110786,0.02438658835537171,0.02766037339282059,0.02875986095935477,0.039590265774851106,0.047338503425120255,0.19244370624599894,0.14163664530833264,0.001693651412279453,,
Other South America,0,0,0,0,0,0,0.0005600000000000001,0.00059,0.0006100000000000001,0.00066,0.00063,0.0007199999999999999,0.00074,0.00056,0.00079,0.00084,0.0008900000000000001,0.00091,0.00075,0.0008000000000000001,0.00095,0.0009699999999999999,0.0011,0.0010700000000000002,0.0009500000000000001,0.0011099999999999999,0.0011189473684210527,0.0012384210526315792,0.0013357894736842105,0.0011984210526315789,0.0012163157894736843,0.0011957894736842104,0.0011578947368421054,0.0012878947368421053,0.0013478947368421054,0.0010528008277235468,0.0010690153237385444,0.0011984310889511514,0.00116879313070573,0.0010984016017603915,0.0010220879176313347,0.0011917802682007805,0.00226324900694413,0.009533984722333222,0.010542653695913168,0.012340539276714696,0.013350432614760472,0.015306817237724224,0.017335420703987126,0.02824156747769236,0.04558405192643648,0.061702821635123785,0.06824413509913024,0.07872988170266891,0.07703261470347408,0.08377334600012587,0.08453357578761378,0.22003550581930265,0.0029971975347492306,,
Total S. & Cent. America,0,0,0,0,0,0.0056223249125364454,0.021442598637026244,0.021309233394274374,0.022658428094023325,0.023782194714285713,0.028641002165094336,0.03352540516545189,0.03673700570316711,0.040740807370879116,0.04372413163392858,0.04392865093602146,0.048714506381578954,0.055064922035956816,0.0634087499721105,0.061661769424697414,0.060594372028779465,0.06250761344674768,0.06704370138033187,0.06637861841445376,0.06944406246406062,0.08305423520572268,0.08374013724707403,0.10692721511398068,0.10288681576140446,0.10840190790465042,0.11071581197718432,0.1261525644310092,0.13471130884034604,0.12701089682734942,0.15004667324338608,0.1507899048600505,0.16615572404841084,0.1841428298665735,0.19995386294644543,0.20943831918263395,0.22116750983818487,0.23901908566244512,0.2912517348995587,0.33019632863372134,0.36891655779095034,0.4780352851946974,0.5041046632876016,0.5945503014383046,0.6803595498344575,0.8113443239475828,0.9757705938368524,1.1445937365034278,1.283404134026775,1.426559004475715,1.616782989477227,1.7132221262822471,0.05675356719545044,0.15923733111440308,0.06129473607707243,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01287501,0.00905816,0.0104696,0.0110445,0.01142485,0.012258320000000001,0.013291639999998916,0.013621110000000033,0.012115550000000001,0.01859221,0.015954440000000004,0.017333889999999994,0.01889777,0.016499118188815172,0.015982793199999998,0.01832832701298701,0.017100898838709674,0.020526725192307686,0.029252528025477707,0.03669530183384312,0.048235245880480324,0.05855147642128691,0.06028467474132225,0.0593199569244657,0.062102577572069315,0.06182560514534602,0.06868817764679355,0.07708515376523034,0.08215559672010009,0.0936304230481299,0.09978570655116527,0.114852740148,0.11108835416016154,0.12413065130303161,0.12113383784610572,-0.026808690618027375,0.07663333074879186,0.004333861036976076,,
Belgium,0,0,0,0,0,0,0,0,0.00116,0.00108,0.0008300000000000001,0.0005700000000000001,0.0024700000000000004,0.0026,0.00315,0.003,0.0029100000000000003,0.00046,0.00021999999999999998,0.00024,0.00053,0.00119,0.0014800000000000002,0.00188,0.0019800000000000004,0.0028900000000000006,0.0030699999999999994,0.00276,0.0025300000000000006,0.00254,0.0033000000000000004,0.0032200000000000006,0.0028300000000000005,0.0036999999999999993,0.00509,0.0058400000000000014,0.006298831168831168,0.0076796129032258055,0.009268269230769227,0.011499363057324838,0.017604683544303792,0.024951509433962255,0.029615062499999987,0.038088447204968935,0.04827055555555553,0.05803137938650303,0.07632212817073167,0.09366468054545446,0.10408258192771075,0.10970832934131729,0.12926678571428576,0.12658984615384639,0.14038470000000047,0.15065936842105315,0.17127642769356868,0.20871752208091426,0.21527088362409286,0.13501481403270676,0.007467382795465092,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009745222929936305,0.00004841772151898733,0.0001924528301886792,0.0004494374999999998,0.0013114285714285706,0.002342222222222221,0.006861533742331286,0.009497195121951213,0.019481999999999985,0.026237776445783116,0.025504202155688598,0.028279363392857117,0.028650055739644943,0.029727089999999998,0.03805314,0.040922349856616136,0.0438636741398247,0.06894712031169492,0.3311691575017035,0.0015693308465526568,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00006,0.00018999999999999998,0.00006,0.00005,0.0001,0.00002,0.00005,0.00002,0.00001,0,0,0,0.00005847133757961783,0.00023240506329113918,0.00028867924528301874,0.00040162499999999986,0.0005796894409937886,0.000746266604444444,0.0016146330669938643,0.0023884462799999982,0.003940909090909089,0.0060213238389758995,0.008520359281437118,0.010190892857142848,0.013679467455621288,0.0162747,0.018614105263157894,0.022470476034412122,0.025622910582132005,0.1371767376262587,0.40563261822723606,0.0009167226581799732,,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007357643312101911,0.000008918544303797465,0.000014549433962264145,0.00003336356249999999,0.00014592968944099373,0.00029613999999999986,0.00068521472392638,0.00166060975609756,0.0023830909090909076,0.0030139156626506,0.002913413173652692,0.003640598571428568,0.0038445459763313573,0.0039169800000000005,0.004149789473684211,0.004588694600573534,0.00554807170612245,0.20577059967494393,0.3152830039941905,0.00019849591348753315,,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0.0030900000000000003,0.00405,0.0029200000000000003,0.004940000000000001,0.00587,0.006830000000000001,0.00517,0.005108610389610389,0.004892051612903225,0.004844019230769229,0.005757779808917196,0.006484682278481011,0.009256211320754715,0.012566760187499994,0.016289501366459617,0.021145109999999988,0.029074139447852743,0.04869998396341461,0.055189594363636324,0.06031489499999995,0.06651810592814365,0.06947005982142851,0.06694474260355023,0.06974075699999999,0.06956745368421051,0.0714621220811143,0.07126533224489798,-0.0054784807299590454,0.12950093814931973,0.0025496925730670006,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0.00006,0.00010499999999999999,0.00010499999999999999,0.00018499999999999994,0.0006010000000000001,0.000662,0.000874,0.0017660000000000002,0.002348,0.0037170000000000003,0.0055439999999999994,0.008203,0.010951,0.014364000000000002,0.017622,0.017103997093737,0.018241404554852434,0.02059244301068392,0.029101868486071887,0.03898456976015417,0.043487895301634584,0.05542005559668148,0.05780994376872463,0.06670149478703095,0.07900737887996041,0.09253775958879407,0.09480587457088771,0.08833701883351322,0.09829062575108172,0.09570571454659432,0.09486479392438202,0.11648194018404903,0.13214291768292674,0.13742001515151506,0.14704884789156616,0.16468912874251485,0.17247089434523794,0.1669355236686389,0.196976375,0.18695981836257308,0.20749763102553598,0.2026118092200856,-0.02621430402247793,0.08141106139370446,0.007248935897876271,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00006,0.00005,0.00008,0.00012,0.00012,0.00013000000000000002,0.00010928571428571427,0.00028033548387096775,0.00031482692307692304,0.0003761656050955413,0.0008414999999999999,0.0010998679245283014,0.0012144374999999994,0.0016250310559006204,0.004808166666666665,0.009565785276073612,0.010739853658536578,0.013309145454545444,0.011036277108433728,0.012341694610778432,0.013660714285714273,0.01347737165680472,0.02179250999999999,0.017078754736842103,0.018715284299060365,0.020367115574790567,0.08528769285372917,0.1455701573816972,0.0007286836625890916,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051565,0.05000099999999999,0.049530000000000005,0.059631,0.06473,0.066196,0.05901000000000001,0.07908799999999999,0.093573,0.084134,0.08666726315789475,0.08229303178400546,0.08881226587436332,0.09205499999999998,0.10226293295340258,0.0934498211192538,0.10500930387288974,0.09677441249999996,0.10126189212160831,0.08523119005847948,0.10587234420406838,0.10886828915275987,0.10757534928229655,0.11726465250475578,0.1174752612669397,0.12458125996810195,0.13166435265139706,0.15053952153110048,0.16833714989227452,0.17326387695929082,0.17357174963382482,-0.000960194828163563,0.07352199645953683,0.00620995632792116,,
France,0,0.0039,0.00605,0.009260000000000001,0.01067,0.013702457999999999,0.013918224,0.015151953000000001,0.015500864000000001,0.015770592,0.014158849,0.013329,0.013745814000000002,0.014183880999999999,0.014840102000000004,0.014710235000000002,0.014921525,0.0152734,0.015587000000000002,0.016223,0.016521499999999998,0.016628,0.017506,0.0177325,0.0184145,0.01913271526,0.02102489604,0.02135977604,0.019780851799999995,0.021635825,0.023357542000000002,0.024330805,0.026895352000000008,0.026765857,0.028944919300000004,0.030392232500000005,0.03448620496753247,0.03759953728064516,0.040336756211538455,0.042737168251719734,0.04691193773924049,0.05807173746226413,0.07940699999999996,0.09666559006211177,0.11960444444444439,0.14532184049079747,0.18294695121951204,0.23618642740619988,0.26359516129720123,0.2884422210573565,0.34113156562133573,0.3540620056713632,0.3958212297006858,0.44282763244242473,0.5090704057128709,0.5708568241663439,0.11830721188814763,0.15585419417507884,0.020423807186638696,,
Germany,0,0,0,0,0,0.009200201613000001,0.010010282260000001,0.0101874874,0.010531048390000002,0.0107625,0.01124710181,0.012776852320000002,0.012465839210000001,0.01317465978,0.01443317792,0.0196625378,0.01804237651,0.01798813004,0.015402381550000002,0.01642944808,0.01644029738,0.015965695560000003,0.01447849294,0.01645881804,0.01775267893,0.01507,0.01572,0.01837,0.02238,0.027909999999999997,0.03517000000000001,0.04142,0.052570000000000006,0.07780000000000001,0.09143000000000001,0.14304,0.15696409090909091,0.2171218064516129,0.2733109615384615,0.35606315923566867,0.41508706329113915,0.49682083018867906,0.6421352624999997,0.6918602981366456,0.719060333333333,0.7906035644171774,0.992315085365853,1.1246742545454538,1.192109638554216,1.309551736526945,1.54647482142857,1.5311362807634896,1.765570096251,1.8504367776676782,1.985255715002873,2.063919035027159,0.03678326999686177,0.10689165260705957,0.07384178069831562,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00002,0.00002,0.00009,0.0004800000000000001,0.00038,0.00035000000000000016,0.00036,0.00037,0.0007300000000000001,0.0016300000000000004,0.004510000000000001,0.00829577922077922,0.00766974193548387,0.011043461538461535,0.012132802547770697,0.01345044303797468,0.017455471698113206,0.019153687499999995,0.023168571428571417,0.026548333333333323,0.028741472392638016,0.03854853658536583,0.05329963636363633,0.07376259036144572,0.07055407185628737,0.07970571428571421,0.08464792899408274,0.08854642800000001,0.09309719842105263,0.10783621296190088,0.12923327321146683,0.19514746759612356,0.15046321373522864,0.004623638261702,,
